latitude,longitude,datetime
50.820727179,-1.312632656,2018-08-29T15:11:58.391633
50.820732858,-1.312632656,2018-08-29T15:11:59.393097
50.820732698,-1.312646843,2018-08-29T15:12:00.394965
50.820725732,-1.312646518,2018-08-29T15:12:01.396626
50.820720053,-1.312646518,2018-08-29T15:12:02.398305
50.820720053,-1.312646518,2018-08-29T15:12:03.400613
50.820720053,-1.312646518,2018-08-29T15:12:04.402325
50.820720053,-1.312646518,2018-08-29T15:12:05.405297
50.820720053,-1.312646518,2018-08-29T15:12:06.406756
50.820719893,-1.312660705,2018-08-29T15:12:07.408885
50.820719893,-1.312660705,2018-08-29T15:12:08.411058
50.820707248,-1.31266038,2018-08-29T15:12:09.413213
50.820707248,-1.31266038,2018-08-29T15:12:10.417693
50.820707248,-1.31266038,2018-08-29T15:12:11.418993
50.820707088,-1.312674567,2018-08-29T15:12:12.420203
50.820707088,-1.312674567,2018-08-29T15:12:13.421843
50.820707088,-1.312674567,2018-08-29T15:12:14.424295
50.82070141,-1.312674567,2018-08-29T15:12:15.426586
50.82070141,-1.312674567,2018-08-29T15:12:16.428690
50.82070141,-1.312674567,2018-08-29T15:12:17.430700
50.820694443,-1.312674242,2018-08-29T15:12:18.433203
50.820694443,-1.312674242,2018-08-29T15:12:19.436964
50.820694284,-1.312688429,2018-08-29T15:12:20.438771
50.820694284,-1.312688429,2018-08-29T15:12:21.440126
50.820694284,-1.312688429,2018-08-29T15:12:22.442270
50.820688605,-1.312688429,2018-08-29T15:12:23.447867
50.820688605,-1.312688429,2018-08-29T15:12:24.453929
50.820688605,-1.312688429,2018-08-29T15:12:25.458119
50.820688605,-1.312688429,2018-08-29T15:12:26.459550
50.820688445,-1.312702616,2018-08-29T15:12:27.462166
50.820688445,-1.312702616,2018-08-29T15:12:28.463702
50.820688445,-1.312702616,2018-08-29T15:12:29.468019
50.820681319,-1.312716478,2018-08-29T15:12:30.471363
50.820681319,-1.312716478,2018-08-29T15:12:31.472123
50.820681319,-1.312716478,2018-08-29T15:12:32.474026
50.82068116,-1.312730665,2018-08-29T15:12:33.475388
50.82068116,-1.312730665,2018-08-29T15:12:34.477184
50.82068116,-1.312730665,2018-08-29T15:12:35.478928
50.820674193,-1.31273034,2018-08-29T15:12:36.480268
50.820674034,-1.312744527,2018-08-29T15:12:37.487277
50.820668355,-1.312744527,2018-08-29T15:12:38.487969
50.820668355,-1.312744527,2018-08-29T15:12:39.489583
50.820661389,-1.312744202,2018-08-29T15:12:40.491485
50.820661229,-1.312758389,2018-08-29T15:12:41.497218
50.820661229,-1.312758389,2018-08-29T15:12:42.498761
50.820661229,-1.312758389,2018-08-29T15:12:43.502180
50.82065539,-1.312772576,2018-08-29T15:12:44.503697
50.820648424,-1.312772251,2018-08-29T15:12:45.508352
50.820648264,-1.312786438,2018-08-29T15:12:46.514063
50.820648264,-1.312786438,2018-08-29T15:12:47.516426
50.820648264,-1.312786438,2018-08-29T15:12:48.519636
50.820648264,-1.312786438,2018-08-29T15:12:49.523446
50.820648105,-1.312800625,2018-08-29T15:12:50.524768
50.820648105,-1.312800625,2018-08-29T15:12:51.527342
50.820641139,-1.3128003,2018-08-29T15:12:52.529305
50.820641139,-1.3128003,2018-08-29T15:12:53.531743
50.820640979,-1.312814487,2018-08-29T15:12:54.536590
50.8206353,-1.312814487,2018-08-29T15:12:55.544295
50.82063514,-1.312828674,2018-08-29T15:12:56.546388
50.82063514,-1.312828674,2018-08-29T15:12:57.550364
50.82063514,-1.312828674,2018-08-29T15:12:58.551845
50.820634981,-1.312842861,2018-08-29T15:12:59.553345
50.820622336,-1.312842536,2018-08-29T15:13:00.554871
50.820622336,-1.312842536,2018-08-29T15:13:01.556492
50.820622176,-1.312856723,2018-08-29T15:13:02.558009
50.820622176,-1.312856723,2018-08-29T15:13:03.561765
